Year,Order,Fuel type,WPS,SPS,CCS,CAP,Speed,Fee
2020,1,HFO,0,0,0,18000,18,0
2021,0,,,,,,18,0
2022,1,HFO,0,0,0,20000,18,0
2023,1,HFO,0,0,0,20000,18,0
2024,1,HFO,0,0,0,20000,18,0
2025,0,,,,,,17,0
2026,1,HFO,0,0,0,20000,17,0
2027,1,HFO,0,0,0,20000,17,0
2028,1,HFO,0,0,0,20000,17,0
2029,0,,,,,,17,0
2030,1,HFO,0,0,0,20000,16,0
2031,1,HFO,0,0,0,22000,16,0
2032,1,HFO,0,0,0,22000,16,0
2033,0,,,,,,16,0
2034,1,HFO,0,0,0,22000,16,0
2035,1,HFO,0,0,0,22000,15,0
2036,1,HFO,0,0,0,22000,15,0
2037,0,,,,,,15,0
2038,1,HFO,0,0,0,22000,15,0
2039,1,HFO,0,0,0,22000,15,0
2040,1,HFO,0,0,0,22000,14,0
2041,1,HFO,0,0,0,24000,14,0
2042,1,HFO,0,0,0,24000,14,0
2043,1,HFO,0,0,0,24000,14,0
2044,1,HFO,0,0,0,24000,14,0
2045,1,HFO,0,0,0,24000,14,0
2046,1,HFO,0,0,0,24000,14,0
2047,1,HFO,0,0,0,24000,14,0
2048,1,HFO,0,0,0,24000,14,0
2049,1,HFO,0,0,0,24000,14,0
2050,1,HFO,0,0,0,24000,14,0
