Symbol,Name,Unit,Param. type,Value
kDWT1,1st DWT coefficients,-,Constant parameter,10.69
kDWT2,2nd DWT coefficients,-,Constant parameter,7024
kFLD1,1st FLD coefficient,-,Constant parameter,1.28
kFLD2,2nd FLD coefficient,-,Constant parameter,2376
Dyear,Days in a year,day,Constant parameter,365
Hday,Hours in a day,hour,Constant parameter,24
Rrun,Running rate (operational days/year),-,Constant parameter,0.8
kShip1,1st ship fuel coefficient,-,Constant parameter,0.000099
kShip2,2nd ship fuel coefficient,-,Constant parameter,0.65
CNM2km,Conversion coefficient (NM to km),-,Constant parameter,1.852
rWPS,Fuel reduction rate of wind propulsion system,-,Constant parameter,0.05
CeqLHV,Equivalent lower heating value coefficient,-,Constant parameter,
kAux1,1st fuel coefficient of auxiliary machinery,-,Constant parameter,7.01
kAux2,2nd fuel coefficients of auxiliary machinery,-,Constant parameter,0.0000868
rSPS,Fuel reduction rate of solar power system,-,Constant parameter,0.15
Cco2,CO2 coefficient,-,Constant parameter,
Cco2DF,CO2 coefficient of diesel fuel,-,Constant parameter,2.816
Cco2EEDI,,-,Constant parameter,3.1144
rCCS,Fuel reduction rate of CCS,-,Constant parameter,0.85
unitCostFuel,Unit cost of fuel,$/ton,Constant parameter,
unitCostDF,Unit cost of diesel fuel,$/ton,Constant parameter,400
kShipBasic1,1st coefficient for basic ship building,-,Constant parameter,5101
kShipBasic2,2nd coefficient for basic ship building,-,Constant parameter,35900000
dcostWPS,Additional cost by wind propulsion system,$,Constant parameter,0.1
dcostSPS,Additional cost by solar power system,$,Constant parameter,0.1
dcostCCS,Additional cost by CCS,$,Constant parameter,0.35
kDem1,,-,Constant parameter,0.612224477
kDem2,,-,Constant parameter,-2410.243165
kDem3,,-,Constant parameter,2372173.603
kDem4,,-,Constant parameter,6.08
dcostCntMin,,$,Constant parameter,-1000
dcostCntMax,,$,Constant parameter,1000
rDMax,,-,Constant parameter,0.9
CAPcntMin,,TEU,Constant parameter,8000
CAPcntMax,,TEU,Constant parameter,24000
vMin,,kt,Constant parameter,12
vDsgn,,kt,Constant parameter,23
dJPNA,,NM,Constant parameter,5000
costCntNom,,$,Constant parameter,1500
NShipFleet,,-,Constant parameter,6
tRegDec,,year,Constant parameter,5
kEEDI1,,-,Constant parameter,174.22
kEEDI2,,-,Constant parameter,-0.201
kMCR1,,-,Constant parameter,0.58
kMCR2,,-,Constant parameter,414.68
kMCR3,,-,Constant parameter,51465.71
wMCR,,ton,Constant parameter,88385.29
kPAE1,,-,Constant parameter,0.025
kPAE2,,-,Constant parameter,250
rMCR,,-,,0.75
SfcM,,g/kWh,,190
SfcA,,g/kWh,,215
wDWT,Deadweight tonnage,ton,State variable,
wFLD,Full load displacement,ton,State variable,
d,Distance,NM,State variable,
fShipORG,Original fuel consumption of ship (HFO-powered and no wind propulsion system),ton,State variable,
fAuxORG,Original fuel consumption of auxiliary machinery (no solar power system),ton,State variable,
gORG,Original CO2 emission (no CCS),ton,State variable,
costFuelShipORG,Original fuel cost of ship,$,State variable,
costFuelShip,Fuel cost of ship,$,State variable,
dcostFuelShip,Additional fuel cost of ship,$,State variable,
costFuelAuxORG,Original fuel cost of auxiliary machinery,$,State variable,
costFuelAux,Fuel cost of auxiliary machinery,$,State variable,
dcostFuelAux,Additional fuel cost of auxiliary machinery,$,State variable,
dcostFuelAll,Total additional fuel cost,$,State variable,
costShipBasicHFO,Basic cost for building HFO ship,$,State variable,
costShipBasic,Basic cost for building ship,$,State variable,
rocc,,-,State variable,
v,,kt,State variable,
tOp,Operation duration,year,State variable,
dcostCnt,,$,State variable,
costRfrb,,$,State variable,
EEDIref,,g/(TEU $\cdot$ NM),State variable,
EEDIreq,,g/(TEU $\cdot$ NM),State variable,
rEEDI,,-,State variable,
MCRM,,kW,State variable,
PA,,kW,State variable,
rSubs,,-,State variable,
rTax,,-,State variable,
dcostEco,,$,Output,
fShip,Fuel consumption of ship,ton,Output,
fAux,Fuel consumption of auxiliary machinery,ton,Output,
g,CO2 emission (including CO2 reduction by CCS),ton,Output,
cta,Cargo transport amount,TEU $\cdot$ NM,Output,
costFuelAll,Total fuel cost,$,Output,
costShipAll,Total ship building cost,$,Output,
dcostShipping,Additional shipping fee,$,Output,
gTilde,CO2 emission per unit cargo transport amount,ton/(TEU $\cdot$ NM),Output,
costTilde,,$,Output,
STilde,,$,Output,
dcostShippingTilde,Additional shipping fee per unit cargo transport amount,\$/(TEU $\cdot$ NM),Output,
S,Sales,$,Output,
overDi,Carry over,TEU $\cdot$ NM,Output,
maxCta,,TEU $\cdot$ NM,Output,
costShipAdd,,$,Output,
EEDIatt,,g/(TEU $\cdot$ NM),Output,
EEXIatt,,g/(TEU $\cdot$ NM),Output,
mSubs,,$,Output,
mTax,,$,Output,
sale,,$,Output,
nTransCnt,,-,Output,
saleTilde,,$,Output,
costShip,,$,Output,
costFuel,,$,Output,
costAdd,,$,Output,
costAll,,$,Output,
